Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'0709,"""Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ...",11423847.0,10989764.0,12712080.0,12909688.0,12200226.0,13027914.0,13876207.0,14537260.0,14961212.0,15770760.0,17282856.0
'0710,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen",5922633.0,5744289.0,6048739.0,6256294.0,5795659.0,6107018.0,6338125.0,6785196.0,6823649.0,6935503.0,7190534.0
'0711,"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",646914.0,672991.0,786405.0,725842.0,681913.0,645116.0,658391.0,690014.0,651960.0,647083.0,648002.0
'0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",3911388.0,2797487.0,3729910.0,3954042.0,4331714.0,4833538.0,5721737.0,5890673.0,4627289.0,3838399.0,4005728.0
'0713,"Dried leguminous vegetables, shelled, whether or not skinned or split",8865832.0,9875898.0,9681297.0,10331568.0,11230024.0,12178100.0,12065723.0,9435187.0,9647884.0,11784810.0,13212561.0
'0714,"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar ...",2495679.0,2315331.0,2502763.0,2810090.0,2829288.0,2486763.0,2580694.0,2315952.0,2009925.0,2443854.0,3302367.0
'0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",5841698.0,5497640.0,5742264.0,6412068.0,7305095.0,8419854.0,10012575.0,9299441.0,8144930.0,8191090.0,9314623.0
'0802,"Other nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts ...",12586504.0,14143811.0,16116351.0,18665267.0,19075021.0,17951783.0,18517217.0,18139168.0,20496955.0,19057697.0,20345918.0
'0803,"Bananas, incl. plantains, fresh or dried",9179142.0,8657050.0,10094674.0,11174760.0,10041923.0,10903174.0,11558612.0,12660307.0,13853961.0,13974227.0,13509252.0
'0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",6467451.0,6819939.0,7838767.0,8826406.0,8882828.0,10481805.0,12805973.0,13312299.0,14812123.0,14907762.0,16678660.0
