,period,reporterCode,flowCode,partnerCode,partner2Code,cmdCode,cifvalue,fobvalue,primaryValue
905,2022,792,X,0,0,7907,0.0,5414449.0,5414449.0
906,2022,792,X,0,0,8001,0.0,32585834.0,32585834.0
907,2022,792,X,0,0,8002,0.0,351467.0,351467.0
908,2022,792,X,0,0,8003,0.0,4728146.0,4728146.0
909,2022,792,X,0,0,8007,0.0,154778.0,154778.0
910,2022,792,X,0,0,8101,0.0,12907298.0,12907298.0
911,2022,792,X,0,0,8102,0.0,364339.0,364339.0
912,2022,792,X,0,0,8103,0.0,180513.0,180513.0
913,2022,792,X,0,0,8104,0.0,154940320.0,154940320.0
914,2022,792,X,0,0,8105,0.0,13559827.0,13559827.0
915,2022,792,X,0,0,8106,0.0,84517.0,84517.0
916,2022,792,X,0,0,8108,0.0,30594095.0,30594095.0
917,2022,792,X,0,0,8109,0.0,9967.0,9967.0
918,2022,792,X,0,0,8110,0.0,4863410.0,4863410.0
919,2022,792,X,0,0,8111,0.0,771821.0,771821.0
920,2022,792,X,0,0,8112,0.0,855294.0,855294.0
921,2022,792,X,0,0,8113,0.0,36892.0,36892.0
922,2022,792,X,0,0,8201,0.0,4501668.0,4501668.0
923,2022,792,X,0,0,8202,0.0,26610144.0,26610144.0
924,2022,792,X,0,0,8203,0.0,6319771.0,6319771.0
925,2022,792,X,0,0,8204,0.0,14193147.0,14193147.0
926,2022,792,X,0,0,8205,0.0,33624575.0,33624575.0
927,2022,792,X,0,0,8206,0.0,5622752.0,5622752.0
928,2022,792,X,0,0,8207,0.0,145408904.0,145408904.0
929,2022,792,X,0,0,8208,0.0,20317471.0,20317471.0
930,2022,792,X,0,0,8209,0.0,29410421.0,29410421.0
931,2022,792,X,0,0,8210,0.0,5027468.0,5027468.0
932,2022,792,X,0,0,8211,0.0,8787791.0,8787791.0
933,2022,792,X,0,0,8212,0.0,55361962.0,55361962.0
934,2022,792,X,0,0,8213,0.0,1791277.0,1791277.0
935,2022,792,X,0,0,8214,0.0,2469382.0,2469382.0
936,2022,792,X,0,0,8215,0.0,16912630.0,16912630.0
937,2022,792,X,0,0,8301,0.0,149849600.0,149849600.0
938,2022,792,X,0,0,8302,0.0,728125041.0,728125041.0
939,2022,792,X,0,0,8303,0.0,4340804.0,4340804.0
940,2022,792,X,0,0,8304,0.0,316612.0,316612.0
941,2022,792,X,0,0,8305,0.0,5043035.0,5043035.0
942,2022,792,X,0,0,8306,0.0,29869861.0,29869861.0
943,2022,792,X,0,0,8307,0.0,136492521.0,136492521.0
944,2022,792,X,0,0,8308,0.0,80722225.0,80722225.0
945,2022,792,X,0,0,8309,0.0,149754409.0,149754409.0
946,2022,792,X,0,0,8310,0.0,10365232.0,10365232.0
947,2022,792,X,0,0,8311,0.0,70743243.0,70743243.0
948,2022,792,X,0,0,8401,0.0,475500.0,475500.0
949,2022,792,X,0,0,8402,0.0,40549292.0,40549292.0
950,2022,792,X,0,0,8403,0.0,588584128.0,588584128.0
951,2022,792,X,0,0,8404,0.0,17807047.0,17807047.0
952,2022,792,X,0,0,8405,0.0,24305005.0,24305005.0
953,2022,792,X,0,0,8406,0.0,11585624.0,11585624.0
954,2022,792,X,0,0,8407,0.0,217175733.0,217175733.0
955,2022,792,X,0,0,8408,0.0,53090469.0,53090469.0
956,2022,792,X,0,0,8409,0.0,1760992122.0,1760992122.0
957,2022,792,X,0,0,8410,0.0,11530492.0,11530492.0
958,2022,792,X,0,0,8411,0.0,731318796.0,731318796.0
