Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'0910,"""Ginger, saffron, turmeric """"curcuma"""", thyme, bay leaves, curry and other spices (excluding ...",63250,77835,103557,113025,106714,113885,109656,113700,118415,136087,139949,126774
'1001,Wheat and meslin,2580,34248,106328,36399,32394,11439,14828,23906,48212,39492,97828,174217
'1002,Rye,1,1022,0,13,0,1,1,0,0,0,1,1
'1003,Barley,1047,26415,54,6412,55,1399,1596,3006,10329,2603,38731,88207
'1004,Oats,31,5,0,15,2,4,35,23,14,16,21,325
'1005,Maize or corn,27923,33820,112052,79514,51033,49044,53038,43878,173324,121037,143575,257396
'1006,Rice,78268,74160,95931,178873,25031,40445,39771,31604,108594,121410,129402,154068
'1007,Grain sorghum,2,2,17,1462,0,211,23,44,71,0,10,4690
'1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",263,686,6547,10703,145,229,217,429,4622,5411,7138,9774
'1101,Wheat or meslin flour,891744,840817,947726,935162,978608,1078489,1052581,1006290,1051757,951074,1106563,1497903
'1102,Cereal flours (excluding wheat or meslin),1333,1084,1557,3399,4148,6227,9763,9212,4590,6269,6497,8962
'1103,"Cereal groats, meal and pellets",69177,48669,62280,93336,72894,77571,92206,88732,62403,65196,83717,122734
'1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",85585,79033,25737,15345,20456,23180,18052,51288,84087,61343,119622,116933
'1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",26,50,35,4,23,153,1143,150,652,74,24,172
'1106,"""Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ...",40566,37346,43767,44669,52604,44989,27797,22934,31031,30639,39057,33334
'1107,"Malt, whether or not roasted",15,190,13,8,14,19,16,1479,1052,622,634,344
'1108,Starches; inulin,9811,13261,34540,38681,47377,52594,51883,54894,73846,72263,81704,103704
'1109,"Wheat gluten, whether or not dried",122,108,67,83,80,13,107,115,252,289,2142,17475
'1201,"Soya beans, whether or not broken",6,10725,23100,24759,7129,109502,44854,12079,45785,37048,61700,86904
'1202,"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)",248,516,2046,3429,363,941,1614,3383,5204,6282,29012,26108
'1204,"Linseed, whether or not broken",10,70,899,4629,72,77,1145,27,4513,3760,15157,29136
'1205,"Rape or colza seeds, whether or not broken",25,2318,2714,2,636,183,4,27,3965,6443,3509,4737
'1206,"Sunflower seeds, whether or not broken",81084,101082,119157,136424,76339,120415,138035,114590,172367,193595,226586,228048
'1207,"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ...",78101,67208,125192,110239,53129,78876,37432,115813,172725,97359,114300,196794
'1208,Flours and meals of oil seeds or oleaginous fruits (excluding mustard),59,141,394,177,104,82,112,288,105,255,468,1172
'1209,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ...",26552,17604,20836,28543,22095,27538,23729,35171,51021,46725,56513,52810
'1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",1,0,1,0,0,3,4,0,0,253,303,1036
'1211,"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ...",12944,11908,19983,25660,15676,16332,17577,20336,24399,26052,30709,32005
'1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ...",25700,23255,28896,25659,19080,16334,18864,27081,32749,22594,39491,41781
'1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",2573,767,187,2012,1909,492,786,832,440,119,918,491
'1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2436,2711,3826,2627,3439,3197,585,2549,14375,5899,439,401
'1301,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins",431,300,569,714,401,594,513,502,360,664,737,1287
'1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",6205,8104,10038,9069,8706,9689,11490,15885,18762,28260,36113,46298
'1401,"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ...",3499,2652,2551,1925,1330,1725,1212,997,1219,1971,3489,2917
'1404,"Vegetable products, n.e.s.",29353,25766,18213,11300,16448,16017,19169,12423,12020,11419,29816,35372
'1501,"Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excluding lard stearin ...",40,0,0,0,0,207,64,1215,24,0,1,8
'1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",141,62,187,350,1,146,1,13,323,76,334,3738
'1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excluding emulsified, mixed or ...",11,0,3,1,157,161,121,25,0,0,1,9
'1504,"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excluding ...",8702,5689,11541,23997,12269,18271,7879,22140,13247,32466,15288,39638
'1505,"Wool grease and fatty substances derived therefrom, incl. lanolin",165,287,30,53,11,57,7,58,146,384,231,173
'1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",0,2,79,239,515,424,394,278,324,170,481,392
'1507,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)",8092,4618,13188,3124,6928,25710,40389,59555,78585,146948,341969,452957
'1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",0,0,0,1,55,0,0,0,4,0,4,136
'1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,49409,76500,294780,89586,60030,69625,200432,239601,143197,129296,170158,338442
